area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
10180;23,7;13,0;13,8;11,5;13,5;10,8;7,2;6,5;165.252;79,58;7,37;0,66;1,34;0,08;8,03;2,95;21,25;78,75;;;
10420;22,4;10,6;11,7;12,7;15,5;13,0;7,3;6,9;703.200;83,25;12,06;0,19;2,02;0,02;0,43;2,03;1,53;98,47;;;
10500;25,9;11,3;12,6;12,3;13,8;12,1;6,8;5,2;157.308;44,54;52,15;0,23;0,94;0,09;0,86;1,19;2,08;97,92;;;
10580;21,4;10,8;12,1;13,0;15,6;13,0;7,1;6,9;870.716;84,90;7,74;0,24;3,12;0,03;1,52;2,46;4,14;95,86;;;
10740;24,6;9,8;13,8;12,8;14,5;12,2;6,9;5,4;887.077;69,63;2,68;5,86;2,02;0,10;15,40;4,32;46,70;53,30;;;
10780;25,4;8,8;13,4;12,6;14,4;11,9;7,6;5,9;153.922;65,96;29,61;0,82;1,05;0,03;0,86;1,67;2,83;97,17;;;
10900;22,8;8,9;11,2;13,4;15,8;12,7;7,5;7,7;821.173;84,49;5,02;0,26;2,49;0,03;5,34;2,36;12,98;87,02;;;
11020;21,1;9,3;11,1;12,2;14,8;13,7;8,7;9,0;127.089;96,18;1,68;0,11;0,56;0,02;0,23;1,22;0,97;99,03;;;
11100;26,3;10,3;14,2;12,5;13,9;11,0;6,3;5,5;249.881;79,80;6,11;0,76;2,61;0,04;8,07;2,60;25,26;74,74;;;
11180;17,8;29,0;14,3;9,3;10,4;9,2;5,0;5,0;89.542;88,61;2,45;0,18;6,01;0,02;1,03;1,70;3,01;96,99;;;
11260;26,7;10,6;15,0;13,5;15,5;11,5;4,7;2,7;380.821;70,38;4,49;7,36;6,48;1,61;1,97;7,72;6,66;93,34;;;
11300;23,1;9,0;12,4;13,2;14,3;12,6;8,1;7,2;131.636;87,71;8,33;0,24;0,42;0,03;1,50;1,77;3,18;96,82;;;
11340;24,0;8,4;11,4;13,3;14,8;12,9;8,6;6,5;187.126;80,06;16,04;0,26;0,75;0,02;1,34;1,53;2,91;97,09;;;
11460;20,9;16,9;14,3;12,7;13,7;11,4;5,6;4,5;344.791;74,50;12,69;0,34;7,86;0,04;1,21;3,36;4,02;95,98;;;
11500;22,9;10,9;12,5;12,3;14,3;12,7;8,0;6,4;118.572;74,92;20,56;0,46;0,71;0,08;1,60;1,67;3,28;96,72;;;
11540;25,6;8,2;13,2;14,0;16,0;11,3;6,1;5,6;225.666;91,92;0,88;1,41;2,77;0,04;1,52;1,46;3,57;96,43;;;
11700;20,3;7,8;12,0;12,9;14,4;14,1;9,8;8,6;424.858;89,33;4,54;0,41;0,88;0,12;2,86;1,86;6,38;93,62;;;
12020;20,9;21,4;14,3;11,7;11,8;9,9;5,8;4,3;192.541;71,43;19,50;0,21;3,19;0,05;3,75;1,88;7,95;92,05;;;
12060;26,5;9,2;14,5;15,8;14,7;10,5;5,4;3,6;5.268.860;55,43;32,42;0,34;4,83;0,05;4,54;2,39;10,39;89,61;;;
12100;23,3;9,3;11,4;13,2;16,3;12,4;7,7;6,5;274.549;65,40;16,08;0,38;7,50;0,03;7,36;3,24;16,84;83,16;;;
12220;22,5;20,5;13,8;12,3;12,2;9,5;5,4;3,7;140.247;71,31;22,75;0,32;2,61;0,07;1,34;1,61;3,26;96,74;;;
12260;24,8;10,1;13,2;12,6;14,7;12,3;7,2;5,3;556.877;58,43;35,32;0,35;1,74;0,13;1,75;2,29;4,44;95,56;;;
12420;25,3;11,7;16,9;15,1;13,3;9,6;4,7;3,4;1.716.289;72,85;7,42;0,78;4,80;0,08;10,86;3,20;31,36;68,64;;;
12540;30,3;11,2;14,5;12,9;12,9;9,2;5,2;3,8;839.631;59,52;5,83;1,51;4,15;0,15;24,33;4,51;49,19;50,81;;;
