;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
area;Geographic area;White;"Black or
African
American";"American
Indian
and
Alaska
Native";Asian;"Native
Hawaiian
and Other
Pacific
Islander";"Some
Other
Race";"Two or
More Races1";"Hispanic
or Latino";"Not
Hispanic
or Latino";"Non-
Hispanic
White
alone"
10180;Abilene, TX;79,58;7,37;0,66;1,34;0,08;8,03;2,95;21,25;78,75;68,22
10420;Akron, OH;83,25;12,06;0,19;2,02;0,02;0,43;2,03;1,53;98,47;82,36
10500;Albany, GA;44,54;52,15;0,23;0,94;0,09;0,86;1,19;2,08;97,92;43,75
10580;Albany-Schenectady-Troy, NY;84,90;7,74;0,24;3,12;0,03;1,52;2,46;4,14;95,86;82,86
10740;Albuquerque, NM;69,63;2,68;5,86;2,02;0,10;15,40;4,32;46,70;53,30;42,19
10780;Alexandria, LA;65,96;29,61;0,82;1,05;0,03;0,86;1,67;2,83;97,17;64,31
10900;Allentown-Bethlehem-Easton, PA-NJ;84,49;5,02;0,26;2,49;0,03;5,34;2,36;12,98;87,02;78,64
11020;Altoona, PA;96,18;1,68;0,11;0,56;0,02;0,23;1,22;0,97;99,03;95,60
11100;Amarillo, TX;79,80;6,11;0,76;2,61;0,04;8,07;2,60;25,26;74,74;64,38
11180;Ames, IA;88,61;2,45;0,18;6,01;0,02;1,03;1,70;3,01;96,99;86,90
11260;Anchorage, AK;70,38;4,49;7,36;6,48;1,61;1,97;7,72;6,66;93,34;67,35
11300;Anderson, IN;87,71;8,33;0,24;0,42;0,03;1,50;1,77;3,18;96,82;86,28
11340;Anderson, SC;80,06;16,04;0,26;0,75;0,02;1,34;1,53;2,91;97,09;78,75
11460;Ann Arbor, MI;74,50;12,69;0,34;7,86;0,04;1,21;3,36;4,02;95,98;72,12
11500;Anniston-Oxford, AL;74,92;20,56;0,46;0,71;0,08;1,60;1,67;3,28;96,72;73,61
11540;Appleton, WI;91,92;0,88;1,41;2,77;0,04;1,52;1,46;3,57;96,43;90,26
11700;Asheville, NC;89,33;4,54;0,41;0,88;0,12;2,86;1,86;6,38;93,62;86,25
12020;Athens-Clarke County, GA;71,43;19,50;0,21;3,19;0,05;3,75;1,88;7,95;92,05;67,79
12060;Atlanta-Sandy Springs-Marietta, GA;55,43;32,42;0,34;4,83;0,05;4,54;2,39;10,39;89,61;50,71
12100;Atlantic City-Hammonton, NJ;65,40;16,08;0,38;7,50;0,03;7,36;3,24;16,84;83,16;58,59
12220;Auburn-Opelika, AL;71,31;22,75;0,32;2,61;0,07;1,34;1,61;3,26;96,74;69,81
12260;Augusta-Richmond County, GA-SC;58,43;35,32;0,35;1,74;0,13;1,75;2,29;4,44;95,56;56,51
12420;Austin-Round Rock-San Marcos, TX;72,85;7,42;0,78;4,80;0,08;10,86;3,20;31,36;68,64;54,68
12540;Bakersfield-Delano, CA;59,52;5,83;1,51;4,15;0,15;24,33;4,51;49,19;50,81;38,56
12580;Baltimore-Towson, MD;62,15;28,74;0,31;4,53;0,05;1,72;2,50;4,57;95,43;60,00
12620;Bangor, ME;95,37;0,75;1,18;0,92;0,03;0,22;1,53;1,05;98,95;94,66
12700;Barnstable Town, MA;92,73;1,88;0,61;1,06;0,04;1,50;2,18;2,17;97,83;91,40
12940;Baton Rouge, LA;59,76;35,63;0,27;1,79;0,03;1,29;1,22;3,41;96,59;57,98
12980;Battle Creek, MI;82,20;10,92;0,61;1,60;0,04;1,55;3,08;4,54;95,46;79,81
13020;Bay City, MI;94,14;1,58;0,52;0,54;0,01;0,98;2,23;4,73;95,27;91,16
13140;Beaumont-Port Arthur, TX;64,71;24,56;0,52;2,50;0,03;5,85;1,83;12,87;87,13;58,78
13380;Bellingham, WA;85,42;0,96;2,83;3,52;0,24;3,27;3,76;7,83;92,17;81,87
13460;Bend, OR;92,16;0,36;0,92;0,94;0,13;2,96;2,53;7,43;92,57;88,42
13740;Billings, MT;91,12;0,61;3,77;0,61;0,07;1,14;2,67;4,52;95,48;88,66
13780;Binghamton, NY;89,78;3,97;0,19;2,95;0,04;0,82;2,25;2,97;97,03;88,26
13820;Birmingham-Hoover, AL;66,77;28,22;0,30;1,23;0,04;2,26;1,18;4,30;95,70;65,04
13900;Bismarck, ND;93,18;0,55;4,04;0,41;0,05;0,30;1,47;1,27;98,73;92,47
13980;Blacksburg-Christiansburg-Radford, VA;89,53;4,30;0,20;3,44;0,03;0,64;1,87;2,19;97,81;88,19
14020;Bloomington, IN;90,70;2,39;0,27;3,83;0,03;0,76;2,02;2,36;97,64;89,34
14060;Bloomington-Normal, IL;84,29;7,33;0,23;4,26;0,03;1,54;2,32;4,38;95,62;81,87
14260;Boise City-Nampa, ID;87,94;0,90;0,86;1,80;0,21;5,43;2,86;12,58;87,42;81,94
14460;Boston-Cambridge-Quincy, MA-NH;78,81;7,28;0,25;6,47;0,03;4,57;2,60;9,02;90,98;74,87
14500;Boulder, CO;87,21;0,86;0,62;4,12;0,06;4,46;2,68;13,33;86,67;79,35
14540;Bowling Green, KY;84,92;8,32;0,28;2,55;0,10;1,86;1,98;4,19;95,81;83,00
14740;Bremerton-Silverdale, WA;82,57;2,65;1,61;4,94;0,92;1,56;5,75;6,25;93,75;79,14
14860;Bridgeport-Stamford-Norwalk, CT;74,81;10,83;0,26;4,61;0,05;6,81;2,62;16,91;83,09;66,18
15180;Brownsville-Harlingen, TX;87,00;0,53;0,42;0,66;0,03;9,82;1,54;88,07;11,93;10,69
15260;Brunswick, GA;71,21;23,51;0,31;0,89;0,10;2,32;1,67;5,07;94,93;68,98
15380;Buffalo-Niagara Falls, NY;81,63;12,22;0,72;2,26;0,02;1,28;1,87;4,09;95,91;79,53
15500;Burlington, NC;71,08;18,77;0,67;1,22;0,04;6,15;2,08;11,01;88,99;67,30
15540;Burlington-South Burlington, VT;93,27;1,68;0,46;2,20;0,03;0,35;2,00;1,66;98,34;92,18
15940;Canton-Massillon, OH;89,36;7,09;0,26;0,70;0,02;0,44;2,14;1,53;98,47;88,41
15980;Cape Coral-Fort Myers, FL;82,99;8,25;0,35;1,37;0,06;4,90;2,08;18,31;81,69;70,96
16020;Cape Girardeau-Jackson, MO-IL;87,52;8,60;0,30;0,98;0,03;0,87;1,70;1,80;98,20;86,78
16180;Carson City, NV;81,06;1,91;2,36;2,14;0,18;9,42;2,93;21,31;78,69;70,71
